sample	type	group	pair_number	somatic_snvs	tumor_doc_50X
MSI_MLH1G_2	MSI-H	MLH1G	2	253	13941097
MSI_MLH1G_3	MSI-H	MLH1G	3	406	13177100
MSI_MLH1G_4	MSI-H	MLH1G	4	4709	7413995
MSI_MLH1G_6	MSI-H	MLH1G	6	223	6459924
MSI_MLH1G_7	MSI-H	MLH1G	7	613	14577479
MSI_MLH1G_8	MSI-H	MLH1G	8	361	9218792
MSI_MLH1G_9	MSI-H	MLH1G	9	111	14903743
MSI_MLH1G_10	MSI-H	MLH1G	10	611	16309519
MSI_MLH1G_11	MSI-H	MLH1G	11	1046	13744099
MSI_MLH1G_12	MSI-H	MLH1G	12	650	12706607
MSI_MLH1G_13	MSI-H	MLH1G	13	753	13349697
MSI_MLH1G_14	MSI-H	MLH1G	14	3285	7127684
MSI_MLH1G_15	MSI-H	MLH1G	15	413	14004398
MSI_MSH2_1	MSI-H	MSH2	1	542	15131152
MSI_MSH2_2	MSI-H	MSH2	2	567	11967086
MSI_MSH2_4	MSI-H	MSH2	4	3505	11018910
MSI_MSH2_5	MSI-H	MSH2	5	359	1327952
MSI_MSH2_6	MSI-H	MSH2	6	1883	9158288
MSI_MSH2_7	MSI-H	MSH2	7	16119	6700375
MSI_MSH2_9	MSI-H	MSH2	9	1503	6366900
MSI_MSH2_10	MSI-H	MSH2	10	3367	12609618
MSI_MSH2_11	MSI-H	MSH2	11	1698	12912929
MSI_MSH2_12	MSI-H	MSH2	12	488	14342141
MSI_MSH6_1	MSI-H	MSH6	1	385	13279520
MSI_MSH6_2	MSI-H	MSH6	2	315	14173769
MSI_MSH6_3	MSI-H	MSH6	3	188	10869211
MSI_MSH6_4	MSI-H	MSH6	4	245	10422939
MSI_MSH6p_5	MSI-H	MSH6	5	475	15595173
MSI_MSH6_6	MSI-H	MSH6	6	370	16725784
MSI_MSH6_7	MSI-H	MSH6	7	598	11321020
MSI_MSH6_8	MSI-H	MSH6	8	3852	14536489
MSI_MSH6_10	MSI-H	MSH6	10	354	12129819
MSI_MSH6_11	MSI-H	MSH6	11	652	16924498
MSI_MSH6_12	MSI-H	MSH6	12	625	11913911
MSI_PMS2_1	MSI-H	PMS2	1	166	10167059
MSI_PMS2_2	MSI-H	PMS2	2	125	10667252
MSI_PMS2_3	MSI-H	PMS2	3	292	12301492
MSI_PMS2_4	MSI-H	PMS2	4	12859	11455656
MSI_PMS2_5	MSI-H	PMS2	5	4744	9518764
MSI_PMS2_6	MSI-H	PMS2	6	2333	12616303
MSI_PMS2_7	MSI-H	PMS2	7	383	11035474
MSI_PMS2_9	MSI-H	PMS2	9	2384	13551418
MSI_PMS2_10	MSI-H	PMS2	10	1321	13244727
MSI_PMS2_11	MSI-H	PMS2	11	268	12236708
MSI_PMS2_12	MSI-H	PMS2	12	565	6457217
MSI_PMS2_13	MSI-H	PMS2	13	2369	10552102
MSI_PMS2_14	MSI-H	PMS2	14	1673	11645726
MSI_PMS2_15	MSI-H	PMS2	15	501	16565397
MSI_PMS2_16	MSI-H	PMS2	16	4050	16984763
MSI_MLH1HM_1	MSI-H	MLH1HM	1	113	11311075
MSI_MLH1p_1	MSI-H	MLH1p	1	213	12760225
MSI_MLH1HM_2	MSI-H	MLH1HM	2	100	13761891
MSI_MLH1HM_3	MSI-H	MLH1HM	3	182	13803575
MSI_MLH1HM_4	MSI-H	MLH1HM	4	167	11677959
MSI_MLH1HM_5	MSI-H	MLH1HM	5	315	12567068
MSI_MLH1HM_6	MSI-H	MLH1HM	6	257	13425713
MSI_MLH1HM_7	MSI-H	MLH1HM	7	161	11305156
MSI_MLH1HM_8	MSI-H	MLH1HM	8	240	14966830
MSI_MLH1HM_9	MSI-H	MLH1HM	9	2103	15882400
MSI_MLH1HM_10	MSI-H	MLH1HM	10	366	16809207
MSI_MLH1HM_11	MSI-H	MLH1HM	11	500	12662423
MSI_MLH1HM_12	MSI-H	MLH1HM	12	417	11561112
MSI_MLH1HM_13	MSI-H	MLH1HM	13	706	14003198
MSI_MLH1HM_14	MSI-H	MLH1HM	14	533	9496605
MSI_MLH1HM_15	MSI-H	MLH1HM	15	530	8740799
MSI_MLH1HM_16	MSI-H	MLH1HM	16	533	15044903
MSI_MLH1HM_17	MSI-H	MLH1HM	17	510	11226542
MSI_MLH1HM_18	MSI-H	MLH1HM	18	184	16608947
MSI_MLH1HM_19	MSI-H	MLH1HM	19	888	9086812
MSI_MLH1HM_20	MSI-H	MLH1HM	20	582	15020566
MSS_1	MSS	MSS	1	41	12570351
MSS_2	MSS	MSS	2	55	13771941
MSS_4	MSS	MSS	4	21	12280985
MSS_5	MSS	MSS	5	49	15614864
MSS_6	MSS	MSS	6	815	15107437
MSS_7	MSS	MSS	7	64	16981453
MSS_8	MSS	MSS	8	120	14068952
MSS_9	MSS	MSS	9	21	7660049
MSS_10	MSS	MSS	10	134	14616496
MSS_11	MSS	MSS	11	103	14007422
MSS_12	MSS	MSS	12	2919	12442614
MSS_13	MSS	MSS	13	143	12947095
MSS_14	MSS	MSS	14	178	10550172
MSS_15	MSS	MSS	15	73	14486965
MSS_16	MSS	MSS	16	518	14188289
MSS_17	MSS	MSS	17	236	14382488
MSS_18	MSS	MSS	18	143	13507834
MSS_19	MSS	MSS	19	3642	9629139
MSS_20	MSS	MSS	20	35	12433693
