sample	type	group	exome_TMB	rna_TMB	rna_FFPE
MSI_MLH1G_10	MSI-H	MLH1G	18.84932859	34.39029342	0.08
MSI_MLH1HM_3	MSI-H	MLH1HM	15.65083779	11.39555253	0.13
MSI_MLH1HM_9	MSI-H	MLH1HM	58.27172117	56.12532	0.70
MSI_MSH2_1	MSI-H	MSH2	21.82633061	33.78560788	0.05
MSI_MSH6_1	MSI-H	MSH6	46.82651168	26.22570168	0.09
MSI_MSH6_2	MSI-H	MSH6	19.43768105	20.77508534	0.06
MSI_MSH6_8	MSI-H	MSH6	39.12851468	264.9883	0.96
MSI_PMS2_10	MSI-H	PMS2	35.60197432	99.73781	0.57
MSI_PMS2_9	MSI-H	PMS2	7.250315307	17.9225		0.20
MSS_15	MSS	MSS	0.968865131	3.375991663		0.33
MSS_16	MSS	MSS	0.341242539	36.50898	0.54
MSS_6	MSS	MSS	13.89201627	53.94694	0.00
