"","percent.FFPE","signature","sens","spec","acc"
"1","10%","SBS1",0.991164054145329,0.656443373276354,NA
"2","10%","SBS10a",0.993154486522519,0.696889598672934,NA
"3","10%","SBS10b",0.989940910559062,0.519990068722229,NA
"4","10%","SBS10c",0.96986988713781,0.53705452093024,NA
"5","10%","SBS10d",0.972403312934588,0.916569854010825,NA
"6","10%","SBS11",0.987284017485859,0.220166684172659,NA
"7","10%","SBS12",0.958901579857024,0.913755898998737,NA
"8","10%","SBS13",0.973362165792808,0.939064117646254,NA
"9","10%","SBS14",0.990270286668515,0.521722212320106,NA
"10","10%","SBS15",0.97468774992852,0.418868129558847,NA
"11","10%","SBS16",0.968572787908182,0.639360769649528,NA
"12","10%","SBS17a",0.987244091332679,0.977292310379009,NA
"13","10%","SBS17b",0.99458075099517,0.99083311464141,NA
"14","10%","SBS18",0.967623509128241,0.395397340497443,NA
"15","10%","SBS19",0.990123361801039,0.0475465889525298,NA
"16","10%","SBS2",0.991147522322167,0.684112269548654,NA
"17","10%","SBS20",0.988168323786903,0.287578324766252,NA
"18","10%","SBS21",0.985093302755256,0.734419740387849,NA
"19","10%","SBS22",0.979010008220549,0.989462855446544,NA
"20","10%","SBS23",0.999897364336302,0,NA
"21","10%","SBS24",0.966989095497283,0.527548125147453,NA
"22","10%","SBS25",0.967383666811356,0.309090835943561,NA
"23","10%","SBS26",0.961499784370248,0.925033738257073,NA
"24","10%","SBS28",0.97248943579977,0.954142388589676,NA
"25","10%","SBS29",0.969673863336147,0.765108877939046,NA
"26","10%","SBS3",0.984246562064384,0.187727915008517,NA
"27","10%","SBS30",NA,NA,NA
"28","10%","SBS31",0.969274035723124,0.171773735433857,NA
"29","10%","SBS32",NA,NA,NA
"30","10%","SBS33",0.963191337831811,0.7774828730324,NA
"31","10%","SBS34",0.983590757941184,0.937164531446655,NA
"32","10%","SBS35",0.965607478868273,0.62435389339858,NA
"33","10%","SBS36",0.935451879126528,0.819970139629348,NA
"34","10%","SBS37",0.954969623265242,0.905592456415823,NA
"35","10%","SBS38",0.946133799410757,0.904493155218868,NA
"36","10%","SBS39",0.949093153002549,0.731210028470914,NA
"37","10%","SBS4",0.964439902309923,0.69769525398379,NA
"38","10%","SBS40",0.997737306676004,0.0975577706228955,NA
"39","10%","SBS41",0.939997458657456,0.661524637316103,NA
"40","10%","SBS42",0.992867394858906,0.149508434813808,NA
"41","10%","SBS44",0.985055631028042,0.423786799325933,NA
"42","10%","SBS5",NA,NA,NA
"43","10%","SBS6",0.988328958965861,0.152708421156586,NA
"44","10%","SBS7a",0.999018926029068,0.211786890674628,NA
"45","10%","SBS7b",0.990410258186539,0.304234118460677,NA
"46","10%","SBS7c",0.978210337912218,0.634699177765346,NA
"47","10%","SBS7d",0.98536315212399,0.659023222448538,NA
"48","10%","SBS8",0.967641561361062,0.812788818239667,NA
"49","10%","SBS84",0.999685247659953,0.136788094214921,NA
"50","10%","SBS85",0.979263335518149,0.840374499095042,NA
"51","10%","SBS86",0.954537651578822,0.709049895341337,NA
"52","10%","SBS87",0.966493830870773,0.63291173950461,NA
"53","10%","SBS88",0.990177855008123,0.883937251911931,NA
"54","10%","SBS89",0.950959632094188,0.481656144348523,NA
"55","10%","SBS9",0.95979055144505,0.584482918884257,NA
"56","10%","SBS90",0.990380568377623,0.940215297797862,NA
"57","10%","SBS91",0.994310096904164,0.621584390612264,NA
"58","10%","SBS92",NA,NA,NA
"59","10%","SBS93",0.935010874271315,0.74317843246241,NA
"60","10%","SBS94",0.972487592409571,0.241552323351159,NA
"61","30%","SBS1",0.972161378241679,0.832469461312805,NA
"62","30%","SBS10a",0.936658424805701,0.967595878341678,NA
"63","30%","SBS10b",0.964833976446569,0.706082369457083,NA
