Batch	Flowcell	Group	sample.name 	 tumor.status	stat.Total_Reads 	stat.Mapped_Reads 	stat.Mapped_Reads_pct	stat.Mapped_Reads_Junction	stat.Mapped_Reads_Junction_pct	stat.Gene_Count 	stat.Gene_Count_pct	stat.SNVs 	stat.Indels 	stat.Fusions
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_10	normal 	61498837	58715520	95	39425496	64	47936467	78	28415	22469	10
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_11	normal 	41320352	39521137	96	22151301	54	32523828	79	52398	36044	0
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_12	normal 	66833583	64805937	97	48738940	73	57837955	87	27205	26334	6
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_13	normal 	40157098	39015853	97	26665535	66	33000292	82	26253	21419	5
4	180712_K00203_0208_AHW5VMBBXX	MLH1G	MSI_MLH1G_14	normal 	23949088	22810290	95	13038123	54	18383075	77	73776	21307	0
4	180712_K00203_0208_AHW5VMBBXX	MLH1G	MSI_MLH1G_15	normal 	43933591	41695733	95	28199837	64	34375594	78	24750	23548	7
3	180412_ST-K00112_0074_AHTVNCBBXX	MLH1G	MSI_MLH1G_2	normal 	84064694	78943257	94	43593403	52	64335956	77	43834	47584	1
2	180116_K00203_0173_BHNKCVBBXX	MLH1G	MSI_MLH1G_3	normal 	35786054	33350117	93	19491571	54	26312603	74	21104	19999	5
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_4	normal 	34766207	32439228	93	10422146	30	14327589	41	53324	16672	0
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_6	normal 	39430499	37598412	95	26587407	67	30808618	78	18984	14010	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_7	normal 	49698668	48510659	98	38058746	77	42086145	85	23048	18084	10
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_8	normal 	21367858	20689696	97	13752923	64	16649022	78	17275	10990	9
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_9	normal 	50658556	47241135	93	29983694	59	37199157	73	25128	30490	8
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_10	tumor 	67817573	63142546	93	38876796	57	48421241	71	32865	32398	11
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_11	tumor 	62875401	60806624	97	38877764	62	51294321	82	41391	36784	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_12	tumor 	36852076	35444077	96	24910860	68	28541823	77	25690	23893	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_13	tumor 	55459606	50382125	91	32055416	58	39583962	71	23155	29567	8
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_14	tumor 	13250473	12587316	95	5987177	45	9345670	71	58321	27396	0
4	180712_K00203_0208_AHW5VMBBXX	MLH1G	MSI_MLH1G_15	tumor 	74021963	68026645	92	44901464	61	53897568	73	24923	40250	4
2	180116_K00203_0173_BHNKCVBBXX	MLH1G	MSI_MLH1G_2	tumor 	41645104	39435014	95	21966683	53	32079050	77	24093	28916	0
2	180116_K00203_0173_BHNKCVBBXX	MLH1G	MSI_MLH1G_3	tumor 	61542861	56597092	92	34783980	57	46076865	75	25099	27274	3
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1G	MSI_MLH1G_4	tumor 	45129901	42840351	95	26044161	58	35230691	78	67351	41041	0
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1G	MSI_MLH1G_5	tumor 	7054773	6498460	92	1362259	19	3937452	56	21801	15391	0
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_6	tumor 	13981683	13383478	96	7099656	51	9489323	68	14231	12173	0
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_7	tumor 	55825486	53030169	95	39367990	71	44459840	80	25588	26809	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_8	tumor 	64589210	61992170	96	44172738	68	51717557	80	32402	24996	19
4	180622_K00316_0171_BHVL2TBBXX	MLH1G	MSI_MLH1G_9	tumor 	55392176	52295523	94	36841558	67	42657163	77	25469	29185	7
1	170411_K00316_0075_AHJGYCBBXX	MLH1G	MSI_MLH1p_1	normal 	53743111	52412166	98	38125759	71	44188999	82	19501	17519	9
1	170411_K00316_0075_AHJGYCBBXX	MLH1G	MSI_MLH1p_1	tumor 	33117950	32144917	97	22523070	68	26570902	80	17061	12393	10
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_1	normal 	35707096	34288431	96	20351348	57	28533666	80	21805	25110	9
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_10	normal 	67427681	61528775	91	34145484	51	49426045	73	32718	42189	11
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_11	normal 	47555218	45072622	95	29168805	61	36113514	76	21765	24541	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_12	normal 	36678929	35609832	97	24569642	67	30080672	82	23366	21737	3
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_13	normal 	46917737	45728310	97	40316685	86	39977274	85	24033	20938	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_14	normal 	32785611	31060937	95	21518660	66	24527164	75	25156	11508	0
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_15	normal 	23354076	22496391	96	14494733	62	18213396	78	18688	8545	0
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_2	normal 	46668777	44771788	96	29288770	63	38011801	81	23525	28194	6
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_3	normal 	40993388	39121549	95	23762756	58	32640630	80	21437	29500	7
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_4	normal 	77185348	73041967	95	46313963	60	61632414	80	26260	34899	13
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_5	normal 	43234782	41350656	96	27742529	64	33682762	78	19320	17524	5
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_6	normal 	83661052	80153961	96	57841784	69	70026938	84	27079	22025	11
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_7	normal 	63753565	59857838	94	41306702	65	51138276	80	23552	29119	8
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_8	normal 	55227522	48708775	88	32379496	59	42117281	76	26684	29802	3
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_9	normal 	88213441	82021754	93	48582167	55	69306747	79	46841	53025	0
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_1	tumor 	28365678	27257480	96	16825294	59	22602889	80	20742	22108	4
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_10	tumor 	76421824	69082633	90	42872636	56	58176133	76	38853	52496	5
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_11	tumor 	44328508	42997158	97	30696686	69	35727501	81	23714	26305	1
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_12	tumor 	42373325	40531228	96	26410088	62	32647202	77	24289	29303	4
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_13	tumor 	92494701	83300324	90	55174404	60	65417412	71	37045	47316	7
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_14	tumor 	44163649	42445564	96	31355930	71	34613365	78	20864	18757	1
4	180622_K00316_0171_BHVL2TBBXX	MLH1HM	MSI_MLH1HM_15	tumor 	64722839	61719669	95	40029436	62	49210821	76	26123	26205	0
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_2	tumor 	43837094	41387333	94	25179614	57	33885829	77	24972	25115	4
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_3	tumor 	53810595	51061946	95	33179570	62	42441808	79	23228	30255	4
2	180116_K00203_0173_BHNKCVBBXX	MLH1HM	MSI_MLH1HM_4	tumor 	25286760	24290481	96	14408440	57	19689520	78	19155	20688	6
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_5	tumor 	63665381	60275150	95	37518371	59	49752203	78	23623	39803	7
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_6	tumor 	33380597	32162021	96	22072893	66	27602940	83	20001	14653	7
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_7	tumor 	34444305	32017254	93	14783824	43	25440770	74	18918	24658	3
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_8	tumor 	60109317	53872242	90	36180850	60	46311148	77	28662	35429	4
3	180406_ST-K00112_0073_AHTF52BBXX	MLH1HM	MSI_MLH1HM_9	tumor 	95551715	90841718	95	58983231	62	78113875	82	42318	63513	5
2	180116_K00203_0173_BHNKCVBBXX	MSH2	MSI_MSH2_1	normal 	65372560	59380258	91	30509414	47	44797668	69	27907	35837	1
4	180712_K00203_0208_AHW5VMBBXX	MSH2	MSI_MSH2_10	normal 	45409173	41706468	92	23064404	51	32350582	71	43034	28614	1
4	180712_K00203_0208_AHW5VMBBXX	MSH2	MSI_MSH2_11	normal 	58336090	46804233	80	18776152	32	29956731	51	48850	28573	1
4	180712_K00203_0208_AHW5VMBBXX	MSH2	MSI_MSH2_12	normal 	55700152	54082589	97	42602940	76	48031991	86	21622	26349	5
3	180406_ST-K00112_0073_AHTF52BBXX	MSH2	MSI_MSH2_2	normal 	33072074	28762218	87	15677586	47	21210721	64	19738	19629	3
4	180622_K00316_0171_BHVL2TBBXX	MSH2	MSI_MSH2_4	normal 	31087653	29690466	96	16734986	54	24855464	80	54206	24751	0
3	180406_ST-K00112_0073_AHTF52BBXX	MSH2	MSI_MSH2_5	normal 	93076277	84040841	90	42102133	45	61061530	66	41893	73236	3
3	180406_ST-K00112_0073_AHTF52BBXX	MSH2	MSI_MSH2_6	normal 	21811978	19665688	90	8483656	39	14435357	66	28733	27195	0
3	180406_ST-K00112_0073_AHTF52BBXX	MSH2	MSI_MSH2_7	normal 	22679436	20254632	89	6721998	30	13657256	60	39085	26077	0
4	180622_K00316_0171_BHVL2TBBXX	MSH2	MSI_MSH2_9	normal 	15191781	14027624	92	5427204	36	9636341	63	25238	16236	0
2	180116_K00203_0173_BHNKCVBBXX	MSH2	MSI_MSH2_1	tumor 	53482708	49494719	93	32108851	60	40861464	76	25943	32004	0
